source,count
"Corpus d’entraînement (mélange: public, sous licence, formateurs)",52
"Presse spécialisée et laboratoires (tests, comparatifs, guides d’achat)",49
"Spécifications officielles des fabricants (fiches techniques, pages constructeur)",17
Entrées utilisateur,16
"Tendances de marché, prix et fiabilité (rapports, SAV)",10
Revues et associations de consommateurs (tests indépendants),9
Littérature scientifique et technique sur la recommandation,8
Avis et retours d’utilisateurs,6
Heuristiques internes et critères de comparaison,5
"Revendeurs et comparateurs (prix, disponibilité)",3
Réglementations sur la protection des données,2
Treated,1
