source,count
"Connaissances issues de l’entraînement du modèle (mélange public/sous licence/formateurs, jusqu’en oct. 2024)",53
"Presse spécialisée et comparatifs (tests, guides, blogs tech)",53
Informations de l’utilisateur (conversation),17
Documentation et fiches techniques des fabricants,15
Sites marchands et comparateurs (prix/disponibilités) et fourchettes de prix observées,9
Avis et retours d’utilisateurs (incl. forums),7
"Heuristiques et critères d’évaluation/recommandation (RQP, fiabilité, coûts d’usage, SAV, etc.)",6
Références académiques et réglementaires (recommandation; RGPD CNIL/UE),5
Recherche web temps réel (si activée),1
Treated,1
