source,count
"Ouvrages techniques d’œnologie (Ribéreau‑Gayon, Peynaud, Jackson, Bird, Waterhouse, Boulton)",49
"Recherche académique en œnologie/viticulture (UC Davis, ISVV, Geisenheim, Adelaide, Cornell, AWRI, Bordeaux Sciences Agro)",48
"Références encyclopédiques et atlas du vin (Oxford Companion, World Atlas, Wine Grapes, Larousse du Vin, Wine Bible, Wine Folly)",46
"Revues scientifiques œnologie/viticulture (AJEV, Aust J GWR, OENO One, J. Agric. Food Chem, Food Chemistry, Revue des Œnologues)",46
"AOP/IGP — registres et cahiers des charges (eAmbrosia, INAO)",36
"OIV — normes, compendium et statistiques",30
"Interprofessions et syndicats d’appellation (CIVB, BIVB, Comité Champagne, InterRhône, InterLoire)",26
"Instituts techniques et organismes publics (IFV, INRAE, FranceAgriMer, Ministères de l’Agriculture)",23
"Ressources pédagogiques professionnelles (WSET, GuildSomm, Court of Master Sommeliers)",16
"UE — cadre réglementaire vin (OCM, étiquetage, pratiques)",15
"Métasources génériques (données publiques, contenus sous licence, documents de formateurs, informations utilisateur)",12
"Autorités d’appellation hors UE (TTB/AVA, Consorzi DOC/DOCG, Consejos Reguladores, Wine Australia)",11
"Presse et portails spécialisés (Decanter, La RVF, Vitisphere, Wine‑Searcher, fiches producteurs)",8
Bases de données cépages (VIVC),3
Références agroclimatiques (indices de Winkler et Huglin; Tonietto & Carbonneau),3
Treated,1
