source,count
"Organismes interprofessionnels et consortia régionaux (CIVB, BIVB, Inter Rhône, CIVA, Comité Champagne, etc.)",68
Manuels techniques d’œnologie et viticulture,43
Revues scientifiques en œnologie et sciences du vin,42
OIV — corpus normatif et statistiques,33
"Ressources universitaires de viticulture–œnologie (UC Davis, ISVV, Geisenheim, etc.)",33
"Ouvrages de référence généraux (Oxford Companion, World Atlas, histoire)",31
"Ressources pédagogiques non académiques (WSET, GuildSomm, Wine Folly)",25
"Instituts de recherche appliquée (IFV, AWRI, INRAE)",24
INAO/Legifrance — textes officiels des appellations françaises,24
"Union européenne — cadre juridique du vin et de l’étiquetage (1308/2013, 2019/33, 2019/34)",16
"Références sensorielle et dégustation (Peynaud, ISO 3591, OIV méthodes, Roue des arômes)",14
Ampélographie — Wine Grapes,11
UE eAmbrosia — registre des IG (AOP/IGP),7
"Médias et guides spécialisés (Decanter, RVF, Guide Hachette, Revue des Œnologues)",4
"Patrimoine et tourisme du vin (Cité du Vin, sites, offices de tourisme)",3
"Références culinaires et accords (McGee, Flavor Bible)",2
"Données climat et classification (Météo‑France, Köppen)",2
"Autorités hors UE — TTB (AVA, USA)",1
Treated,1
