variable,total,true,false,null,true_%,false_%,null_%
specialised_press_mention,30,0,0,30,0.0,0.0,100.0
context,30,30,0,0,100.0,0.0,0.0
concrete_suggestions,30,30,0,0,100.0,0.0,0.0
region_suggestion,30,30,0,0,100.0,0.0,0.0
cepage_suggestion,30,30,0,0,100.0,0.0,0.0
domain_suggestion,30,30,0,0,100.0,0.0,0.0
aromatics_notes,30,29,1,0,96.66666666666667,3.3333333333333335,0.0
purchase_place,30,23,7,0,76.66666666666667,23.333333333333332,0.0
price_mention,30,30,0,0,100.0,0.0,0.0
wine_advices,30,30,0,0,100.0,0.0,0.0
precision_proposal,30,27,3,0,90.0,10.0,0.0
