source,count
Jancis Robinson — ouvrages de référence (Oxford Companion; World Atlas; JancisRobinson.com),29
"WSET — supports officiels (niveaux, SAT, modules Food & Wine Pairing)",26
Wine Folly — livres et site (The Master Guide; Magnum Edition; articles),25
Dornenburg & Page — ouvrages d’accords (What to Drink with What You Eat; The Flavor Bible),22
Ressources interprofessionnelles et d’appellation (INAO; BIVB; CIVB; InterRhône; InterLoire; Comité Champagne; Écoles du vin),21
"Court of Master Sommeliers — supports officiels (principes, guides, supports d’étude)",19
Médias vin — presse et guides (Decanter; Wine Spectator; La RVF; Le Figaro Vin; Guide Hachette; Bettane+Desseauve),18
Recherches et publications en analyse sensorielle/œnologie (UC Davis; Cornell; ISVV; IFV; AJEV; ASVE; Ann C. Noble; Charles Spence),17
Harold McGee — On Food and Cooking (science du goût),16
François Chartier — Papilles/Taste Buds and Molecules,11
Karen MacNeil — The Wine Bible,9
GuildSomm — articles et dossiers pédagogiques,8
Larousse du Vin (dictionnaire),6
Émile Peynaud — Le Goût du vin / The Taste of Wine,6
Evan Goldstein — Perfect Pairings,5
Serious Eats — guides et Food Lab,5
Monographies de science du vin (Jackson; Clarke & Bakker; Jamie Goode),3
Fiches techniques de domaines (producteurs),1
Rajat Parr & Jordan Mackay — The Sommelier’s Atlas of Taste,1
Larousse gastronomique (encyclopédie culinaire),1
Treated,1
