source,count
Contenus sous licence,7
Les Numériques,7
Wirecutter,5
Données publiques,5
Guides d’achat,4
RTINGS,4
Notebookcheck,3
Fiches techniques,3
Informations fournies par l’utilisateur dans cette conversation,3
Fiches techniques des fabricants,3
Rtings,3
Que Choisir,3
Contenu créé par des formateurs humains,2
Wirecutter/NYT,2
Tests et avis publiés,2
Retours d’utilisateurs,2
"Informations fournies par l’utilisateur (besoins, budget, critères)",2
Données créées par des formateurs humains,2
Fiches techniques de fabricants (fiches constructeur),2
Sites fabricants,2
Boulanger,2
Amazon,2
Contenus publics,2
Données publiques (générales),2
Sites marchands (pour les prix et stocks à jour),1
"Critères fournis par l’utilisateur (budget, usages, contraintes)",1
Catalogues de produits,1
Données publiques incluses dans l'entraînement du modèle,1
Données sous licence intégrées à l’entraînement,1
Tendances du marché (sources non précisées),1
Pages constructeurs,1
Données publiques utilisées durant l’entraînement,1
"Connaissances générales issues de tendances, spécifications, retours et tests publiés avant octobre 2024",1
Contenus générés par des formateurs humains (données de formation),1
Contenus sous licence utilisés durant l’entraînement,1
Informations fournies par l'utilisateur dans cette conversation,1
Bonnes pratiques d’achat courantes (connaissances générales),1
Contenus créés par des formateurs humains (données d’entraînement),1
Données sous licence utilisées durant l’entraînement du modèle,1
Données publiques utilisées durant l’entraînement du modèle,1
Contenu de cette conversation fourni par l’utilisateur,1
"Linden, G., Smith, B., & York, J. (2003). Amazon.com recommendations: Item-to-Item Collaborative Filtering.",1
Rapports sectoriels Shopify,1
Rapports sectoriels Bain,1
Rapports sectoriels Deloitte,1
Données sous licence utilisées lors de l'entraînement,1
Tests de produits (guides/tests publics),1
Connaissances générales intégrées à l’entraînement (jusqu’en 10/2024),1
Tendances de marché (sources publiques générales),1
Rapports de fiabilité,1
Documentations fabricants,1
Fiches produits publiques,1
"Informations fournies par l’utilisateur dans la conversation (besoins, budget, critères, contraintes)",1
Idealo,1
Fnac,1
Sites constructeurs (spécifications officielles),1
Contenus rédigés par des formateurs humains,1
Données de marché publiques,1
Avis d’utilisateurs,1
Comparatifs et tests,1
What Hi‑Fi,1
GSMArena,1
Que Choisir/UFC,1
Critères/infos partagés par l’utilisateur dans la conversation,1
Contenus rédigés par des formateurs humains (corpus d’entraînement),1
Données sous licence (corpus d’entraînement),1
Données publiques (corpus d’entraînement),1
Articles publics,1
Rapports publics,1
Avis d’experts (sources publiques),1
Nielsen Norman Group,1
Fiches techniques (sources publiques),1
Rapports sectoriels McKinsey,1
"Critères fournis par l’utilisateur dans la conversation (budget, usage, préférences)",1
Baymard Institute,1
Fiches techniques de fabricants,1
Fiches techniques et sites constructeurs,1
"Règles et bonnes pratiques d’achat (comparaison de caractéristiques, rapport qualité/prix, fiabilité)",1
"Connaissances générales issues d’un mélange de données publiques, de contenus sous licence et de données créées par des formateurs (jusqu’en octobre 2024)",1
"Informations fournies par l’utilisateur (besoins, budget, contraintes)",1
Rapports du secteur,1
Retours utilisateurs agrégés,1
Tests et revues d’experts,1
"Connaissances générales apprises durant l’entraînement (données publiques, sous licence et contenu produit par des formateurs)",1
Comparatifs,1
Tests/avis de professionnels reconnus,1
Données rédigées par des formateurs humains,1
Fnac/Darty,1
Guides d’achat connus,1
Tendances et fourchettes de prix/performances généralement observées,1
Fourchettes de prix indicatives à vérifier auprès des revendeurs,1
Caractéristiques produits et bonnes pratiques d’achat généralement reconnues,1
Données générées par des formateurs humains,1
Avis (reviews),1
Tests,1
Exemples rédigés par des formateurs,1
Données sous licence,1
Consumer Reports,1
TechRadar,1
Données publiques (utilisées pendant l’entraînement),1
Connaissances produites par des formateurs humains (jusqu’en oct. 2024),1
"Vos critères et contraintes (budget, usages, pays, préférences)",1
Fourchettes de prix et critères typiques donnés à titre indicatif,1
"Connaissances générales du marché apprises lors de l’entraînement sur un mélange de données publiques, de données licenciées et de contenus créés par des formateurs humains (fiches techniques, bonnes pratiques, comparatifs, tendances)",1
"Données fournies par l’utilisateur dans cette conversation (besoins, budget, préférences)",1
"Sources typiques considérées fiables (tests et guides d’achat, documents constructeurs)",1
"Schémas courants du marché (rapports qualité/prix, réputations de marques, fiches techniques types, critères de choix)",1
"Savoir général issu de l’entraînement (données publiques, sous licence, retours de formateurs) jusqu’à fin 2024",1
"Pratiques courantes d’évaluation (rapports qualité/prix, fiabilité, SAV, disponibilité)",1
"Base de connaissances générale mise à jour jusqu’en octobre 2024, entraînée sur un mélange de données publiques, de contenus sous licence et de données créées par des formateurs humains (incluant tests d’experts, fiches techniques et tendances du marché)",1
Tests et guides d’achat publiés,1
Documents fabricants,1
"Tendances de prix et gammes habituelles (inférées, non temps réel)",1
Contenus sous licence (utilisés pendant l’entraînement),1
Avis publics (utilisateurs/consommateurs),1
Tests et comparatifs de la presse spécialisée,1
Positionnements/présentations produits des fabricants,1
Contenus créés par des formateurs humains (jeu d’entraînement),1
Données sous licence utilisées pour l’entraînement,1
Données publiques utilisées pour l’entraînement,1
Les tendances de prix et la fiabilité rapportée,1
Retours d’utilisateurs agrégés,1
Tests et benchmarks publiés par des médias spécialisés,1
Données créées par des formateurs humains (pendant l’entraînement),1
"Éléments fournis par l’utilisateur (liens, images, modèles précis)",1
