source,count
Ouvrages et manuels de référence en œnologie/viticulture (Oxford Companion; Wine Grapes; World Atlas; Wine Science; Traité/Handbook; Boulton; Bird; Peynaud; Goode; MacNeil; Morris; Larousse),92
"Interprofessions et organismes d’appellation (CIVB, BIVB, CIVC, Inter Rhône, Consorzi, Consejos, etc.)",58
"Revues scientifiques d’œnologie/viticulture (AJEV, OENO One, J. Int. Sci. Vigne Vin, Aust. J. Grape & Wine Res., Food Chem., J. Agric. Food Chem., Vitis)",42
"Universités et écoles d’œnologie/viticulture (UC Davis, ISVV, Geisenheim, Cornell, WSU, Adélaïde, Bordeaux Sciences Agro)",38
"OIV — normes, résolutions, compendium et statistiques (oiv.int)",31
France — INAO et Journal Officiel (AOC/AOP; cahiers des charges),29
"Union européenne — réglementation vins (EUR‑Lex: Règlements 1308/2013, 2019/33, etc.)",19
"Instituts techniques et de recherche spécialisés (AWRI, IFV, INRAE)",18
Formations et certifications professionnelles (WSET; Institute of Masters of Wine; Court of Master Sommeliers),15
Ressources pédagogiques et techniques de la filière — GuildSomm,11
Union européenne — registre eAmbrosia (IG/AOP/IGP),10
Médias et sites spécialisés vin (Decanter; The World of Fine Wine; The Drinks Business; Revue du Vin de France; Wine Spectator; JancisRobinson.com; Wine Folly),10
"Documentation technique de l’industrie (fournisseurs et producteurs: Lallemand, Scott Labs, Oenobrands; fiches techniques)",6
États‑Unis — TTB/AVA (réglementation et délimitations),6
Bases variétales des cépages (VIVC; Pl@ntGrape),4
Meta/données d’entraînement (hors sources factuelles),3
Portugal — IVV (cadre réglementaire),2
Organismes nationaux du secteur (Wine Australia; Wines of South Africa),2
Encyclopédies générales en ligne (p. ex. Wikipedia),2
Italie — ICQRF (réglementation IG),1
Treated,1
