source,count
"Institutions de sommellerie (WSET, Court of Master Sommeliers, GuildSomm, IMW, Académie du Vin) — cursus, S.A.T., modules Food & Wine",59
Références pratiques d’accords mets-vins (What to Drink; Perfect/Daring Pairings; Wine Folly; Faure‑Brac; Flavor Bible/Matrix),56
Ouvrages généraux de référence sur le vin (Oxford Companion; Wine Bible; Larousse; World/Sommelier’s Atlas),50
"Fondements scientifiques du goût, du vin et de la perception (McGee; UC Davis/ASEV; Ann C. Noble; É. Peynaud; J. Goode; C. Spence)",38
Presse et guides français du vin (La RVF; Guide Hachette; Bettane+Desseauve; Gault&Millau),21
Organismes officiels et interprofessions (BIVB; CIVB; InterRhône; Comité Champagne; CIVA/INAO; Vins d’Alsace/Loire; École du Vin de Bordeaux),12
Médias/littérature culinaires grand public (Serious Eats; NYT Cooking; Food & Wine; vulgarisation goût/arômes),9
Médias vin spécialisés (Decanter; Wine Spectator; JancisRobinson.com),9
Sources de formation génériques (données publiques; contenus sous licence; exemples de formateurs; principes synthétisés),4
Outils de formation sensorielle (Le Nez du Vin),1
Treated,1
