source,count
Encyclopédies du vin (Oxford Companion; Larousse),34
Wine Folly (site et livres),24
"WSET — supports officiels (L2–L4, SAT)",24
"Presse/Guides vin spécialisés (Decanter, Wine Spectator, Wine Enthusiast, Wine & Spirits, La RVF, Bettane+Desseauve, Guide Hachette)",22
Accords — François Chartier (Papilles et molécules et autres ouvrages),17
On Food and Cooking (Harold McGee),17
Court of Master Sommeliers — supports/cursus,17
The Wine Bible (Karen MacNeil),16
"Interprofessions régionales et consorzi (BIVB, CIVB, InterRhône/Inter Rhône, InterLoire, Comité Champagne, Rioja, Sherry Council) + fiches d’accords",15
"Littérature académique œnologie/sensoriel (UC Davis, ASEV, AJEV, Food Quality and Preference, Chemical Senses, J. Agric. Food Chem., AWRI, Charles Spence)",15
GuildSomm — articles techniques/pédagogiques,15
Accords mets-vins — What to Drink with What You Eat (Page & Dornenburg),14
Accords — The Flavor Bible (Page & Dornenburg),8
Accords — Perfect Pairings (Evan Goldstein),6
"Corpus d’entraînement (données publiques, sous licence et issues de formateurs)",4
The Sommelier’s Atlas of Taste (Rajat Parr & Jordan Mackay),2
INAO — fiches et guides,2
OIV — guides et normes,2
Foodpairing (plateforme d’appariement aromatique),2
"Bases de données vins grand public (Wine-Searcher, Vivino)",1
Food and Wine Pairing: A Sensory Experience (Robert J. Harrington),1
Wine Aroma Wheel (Ann C. Noble),1
Ressources culinaires grand public (Serious Eats),1
Le Goût du Vin (Émile Peynaud),1
Why You Like the Wines You Like (Tim Hanni MW),1
Conseils d’experts sommeliers (p. ex. Philippe Faure-Brac),1
Treated,1
